No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential","Monochromatic, Black #000000, White #FFFFFF","Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent","Subtle hover (200-250ms), smooth transitions, sharp shadows if any, clear type hierarchy, fast loading","Enterprise apps, dashboards, documentation sites, SaaS platforms, professional tools","Creative portfolios, entertainment, playful brands, artistic experiments",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, Bootstrap 9/10, MUI 9/10",1950s Swiss,Low,"Design a minimalist landing page. Use: white space, geometric layouts, sans-serif fonts, high contrast, grid-based structure, essenttial elements only. Avoid shadows and gradients. Focus on clarity and functionality.","display: grid, gap: 2rem, font-family: sans-serif, color: #000 or #FFF, max-width: 1200px, clean borders, no box-shadow unless necessary","☐ Grid-based layout 12-16 columns, ☐ Typography hierarchy clear, ☐ No unnecessary decorations, ☐ WCAG AAA contrast verified, ☐ Mobile responsive grid","--spacing: 2rem, --border-radius: 0px, --font-weight: 400-700, --shadow: none, --accent-color: single primary only"
2,Neumorphism,General,"Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic","Light pastels: Soft Blue #C8E0F4, Soft Pink #F5E0E8, Soft Grey #E8E8E8","Tints/shades (±30%), gradient subtlety, color harmony","Soft box-shadow (multiple: -5px -5px 15px, 5px 5px 15px), smooth press (150ms), inner subtle shadow","Health/wellness apps, meditation platforms, fitness trackers, minimal interaction UIs","Complex apps, critical accessibility, data-heavy dashboards, high-contrast required",✓ Full,◐ Partial,⚡ Good,⚠ Low contrast,✓ Good,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",2020s Modern,Medium,"Create a neumorphic UUI with soft 3D effects. Use light pastels, rounded corners (12-16px), subtle soft shadows (multiple layers), no hard lines, monochromatic color scheme with light/dark variations. Embossed/debossed effect on interactive elements.","border-radius: 12-16px, box-shadow: -5px -5px 15px rgba(0,0,0,0.1), 5px 5px 15px rgba(255,255,255,0.8), background: linear-gradient(145deg, color1, color2), transform: scale on press","☐ Rounded corners 12-16px consistent, ☐ Multiple shadow layers (2-3), ☐ Pastel color verified, ☐ Monochromatic palette checked, ☐ Press animation smooth 150ms","--border-radius: 14px, --shadow-soft-1: -5px -5px 15px, --shadow-soft-2: 5px 5px 15px, --color-light: #F5F5F5, --color-primary: single pastel"
3,Glassmorphism,General,"Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer","Translucent white: rgba(255,255,255,0.1-0.3)","Vibrant: Electric Blue #0080FF, Neon Purple #8B00FF, Vivid Pink #FF1493, Teal #20B2AA","Backdrop blur (10-20px), subtle border (1px solid rgba white 0.2), light reflection, Z-depth","Modern SaaS, financial dashboards, high-end corporate, lifestyle apps, modal overlays, navigation","Low-contrast backgrounds, critical accessibility, performance-limited, dark text on dark",✓ Full,✓ Full,⚠ Good,⚠ Ensure 4.5:1,✓ Good,✓ High,"Tailwind 9/10, MUI 8/10, Chakra 8/10",2020s Modern,Medium,"Design a glassmorphic interface with frosted glass effect. Use backdrop blur (10-20px), translucent overlays (rgba 10-30% opacity), vibrant background colors, subtle borders, light source reflection, layered depth. Perfect for modern overlays and cards.","backdrop-filter: blur(15px), background: rgba(255, 255, 255, 0.15), border: 1px solid rgba(255,255,255,0.2), -webkit-backdrop-filter: blur(15px), z-index layering for depth","☐ Backdrop-filter blur 10-20px, ☐ Translucent white 15-30% opacity, ☐ Subtle border 1px light, ☐ Vibrant background verified, ☐ Text contrast 4.5:1 checked","--blur-amount: 15px, --glass-opacity: 0.15, --border-color: rgba(255,255,255,0.2), --background: vibrant color, --text-color: light/dark based on BG"
4,Brutalism,General,"Raw, unpolished, stark, high contrast, plain text, default fonts, visible borders, asymmetric, anti-design","Primary: Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000, White #FFFFFF","Limited: Neon Green #00FF00, Hot Pink #FF00FF, minimal secondary","No smooth transitions (instant), sharp corners (0px), bold typography (700+), visible grid, large blocks","Design portfolios, artistic projects, counter-culture brands, editorial/media sites, tech blogs","Corporate environments, conservative industries, critical accessibility, customer-facing professional",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,◐ Medium,✗ Low,"Tailwind 10/10, Bootstraap 7/10",1950s Brutalist,Low,"Create a brutalist design with raw, unpolished, stark aesthetic. Use pure primary colors (red, blue, yellow), black & white, no smooth transitions (instant), sharp corners, bold large typography, visible grid lines, default system fonts, intentional 'broken' design elements.","border-radius: 0px, transition: none or 0s, font-family: system-ui or monospace, font-weight: 700+, border: visible 2-4px, colors: #FF0000, #0000FF, #FFFF00, #000000, #FFFFFF","☐ No border-radius (0px), ☐ No transitions (instant), ☐ Bold typography (700+), ☐ Pure primary colors used, ☐ Visible grid/borders, ☐ Asymmetric layout intentional","--border-radius: 0px, --transition-duration: 0s, --font-weight: 700-900, --colors: primary only, --border-style: visible, --grid-visible: true"
5,3D & Hyperrealism,General,"Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic elements, rich detail, immersive","Deep Navy #001F3F, Forest Green #228B22, Burgundy #800020, Gold #FFD700, Silver #C0C0C0","Complex gradients (5-10 stops), realistic lighting, shadow variations (20-40% darker)","WebGL/Three.js 3D, realistic shadows (layers), physics lighting, parallax (3-5 layers), smooth 3D (300-400ms)","Gaming, product showcase, immersive experiences, high-end e-commerce, architectural viz, VR/AR","Low-end mobile, performance-limited, critical accessibility, data tables/forms",◐ Partial,◐ Partial,❌ Poor,⚠ Not accessible,✗ Low,◐ Meedium,"Three.js 10/10, R3F 10/10, Babylon.js 10/10",2020s Modern,High,"Build an immersive 3D interface using realistic textures, 3D models (Three.js/Babylon.js), complex shadows, realistic lighting, parallax scrolling (3-5 layers), physics-based motion. Include skeuomorphic elements with tactile detail.","transform: translate3d, perspective: 1000px, WebGL canvas, Three.js/Babylon.js library, box-shadow: complex multi-layer, background: complex gradients, filter: drop-shadow()","☐ WebGL/Three.js integrated, ☐ 3D models loaded, ☐ Parallax 3-5 layers, ☐ Realistic lighting verified, ☐ Complex shadows rendered, ☐ Physics animation smooth 300-400ms","--perspective: 1000px, --parallax-layers: 5, --lighting-intensity: realistic, --shadow-depth: 20-40%, --animation-duration: 300-400ms"
6,Vibrant & Block-based,General,"Bold, energetic, playful, block layout, geometric shapes, high color contrast, duotone, modern, energetic","Neon Green #39FF14, Electric Purple #BF00FF, Vivid Pink #FF1493, Bright Cyan #00FFFF, Sunburst #FFAA00","Complementary: Orange #FF7F00, Shocking Pink #FF006E, Lime #CCFF00, triadic schemes","Large sections (48px+ gaps), animated patterns, bold hover (color shift), scroll-snap, large type (32px+), 200-300ms","Startups, creative agencies, gaming, social media, youth-focused, entertainment, consumer","Financial institutions, healthcare, formal business, government, conservative, elderly",✓ Full,✓ Full,⚡ Good,◐ Ensure WCAGG,✓ High,✓ High,"Tailwind 10/10, Next.js 10/10, Vue 9/10",2020s Modern,Low,"Design a vibrant and block-based interface. Use bold energetic colors, large geometric blocks, high contrast, duotone effects, large typography (32px+), animated background patterns, scroll-snap for sections, and energetic hover effects.","display: flex, flex-direction: column, gap: 48px, background-color: #39FF14, font-size: 3rem, border-radius: 0px, scroll-snap-type: y mandatory","☐ Bold colors verified, ☐ Large geometric blocks used, ☐ High contrast checked, ☐ Large typography 32px+, ☐ Animated patterns included, ☐ Scroll-snap implemented","--spacing-large: 48px, --font-size-hero: 32px+, --primary-neon: #39FF14, --secondary-neon: #BF00FF, --radius: 0px"
7,Aurora UI,General,"Gradients, organic, ethereal, flowing, soft, vibrant, ambient, multi-color, blurred, background-focused","Deep Purple #4B0082, Indigo #4B0082, Cyan #00FFFF, Pink #FF1493","Soft transitions, ambient light, blurred shapes (60-100px)","Animated gradients (5-10s), blur filter (60px+), soft entry (fade-in 500ms), organic motion, subtle layering","Landing pages, app backgrounds, creative tools, premium SaaS, music/entertainment apps, marketing sites","Data-dense dashboards, professional tools, technical documentation, high-performance required",✓ Full,✓ Full,⚠ Good,⚠ Text contrast,✓ High,✓ High,"Tailwind 9/10, CSS 10/10, Framer Motion 10/10",2020s Modern,Medium,"Create an Aurora UI effect. Use deep organic gradients, flowing ethereal shapes, ambient light, multi-color blurred backgrounds (60px+ blur), animated transitions between colors (5-10s loop), and soft fade-in effects. Background is the focus.","background: radial-gradient(at 0% 0%, hsla(253,16%,7%,1) 0, transparent 50%), radial-gradient(at 50% 0%, hsla(225,39%,30%,1) 0, transparent 50%), filter: blur(60px), animation: aurora 10s infinite alternate","☐ Organic gradients verified, ☐ Blur filter 60px+ applied, ☐ Multi-color palette checked, ☐ Ambient light effect visible, ☐ Smooth color animation 5s+, ☐ Text contrast checked against BG","--aurora-blur: 80px, --animation-speed: 8s, --color-1: hsla(253,16%,7%,1), --color-2: hsla(225,39%,30%,1)"
8,Minimalism (Swiss Modernism 2.0),General,"Precision, asymmetrical grid, typographic focus, functional, high-end, editorial, clean, structured, neutral","Pure Black #000000, Pure White #FFFFFF","Neutral Gray #F5F5F5, Accent Vermillion #FF4500","Hard grid (12-24 cols), tight tracking (-1 to -2%), massive leading (1.4-1.6x), no shadows, sharp edges, instant interactions","Luxury brands, design agencies, high-end architecture, editorial sites, premium products, portfolios","E-commerce, budget brands, playful consumer apps, data-dense enterprise",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, CSS Grid 10/10",2020s Evolution,Low,"Design using Swiss Modernism 2.0. Focus on precision, asymmetrical grids, massive typography hierarchy, white space, neutral colors with a single sharp accent. No shadows, no rounded corners, no gradients. Editorial feel.","display: grid, grid-template-columns: repeat(24, 1-fr), font-family: 'Inter', letter-spacing: -0.02em, line-height: 1.5, border: 1px solid #000","☐ 12-24 column grid used, ☐ Typography hierarchy (80/40/20/16), ☐ No shadows/gradients, ☐ Sharp edges 0px, ☐ Single accent color verified, ☐ High contrast B&W base","--grid-cols: 24, --radius: 0px, --leading: 1.5, --tracking: -0.02em, --accent: #FF4500"
9,Neubrutalism,General,"Bold, thick borders, high-contrast, pop-art, vibrant, raw, shadow-offset, playfull, energetic, anti-polish","Bright Yellow #FACC15, Hot Pink #F472B6, Lime #A3E635","Pure Black #000000 (borders/shadows), White #FFFFFF","Thick black borders (2-4px), hard offset shadows (4-8px, no blur), high-saturation, bold sans-serif, rapid feedback (100ms)","Startups, Gen-Z brands, creative tools, fintech (modern), marketing, events, blogs","Traditional finance, healthcare, professional corporate, government, high-density tools",✓ Full,✗ Poor,⚡ Good,✓ High,✓ High,✓ High,"Tailwind 10/10, Component libs (Neo) 10/10",2020s Trend,Low,"Design a Neubrutalist interface. Use bold vibrant colors, thick black borders (2-4px) on everything, hard offset shadows (4-8px) with no blur, high contrast, pop-art feel, and rapid interaction feedback. No rounded corners except for buttons (max 4px).","border: 3px solid #000, box-shadow: 6px 6px 0px #000, background-color: #FACC15, font-family: 'Lexend', font-weight: 800","☐ 3px+ black borders used, ☐ Hard offset shadows (no blur), ☐ High saturation colors, ☐ Bold sans-serif 800+, ☐ Sharp corners 0-4px, ☐ Rapid hover feedback 100ms","--border-width: 3px, --shadow-offset: 6px, --primary: #FACC15, --ink: #000, --radius: 0px"
10,Motion-Driven (Kinetic),General,"Animation, interaction, feedback, fluid, storytelling, immersive, playful, dynamic, reactive, high-energy","Brand Primary (High Saturation)","Supporting Neutral Palette","Scroll-triggered animations, micro-interactions (50-150ms), page transitions (300ms), physics-based motion (spring), Lottie/SVG","Marketing sites, storytelling apps, creative portfolios, gaming, high-engagement consumer apps","Data entry forms, high-density professional tools, healthcare, performance-critical low-end",✓ Full,✓ Full,⚠ Moderate,✓ High,✓ High,✓ High,"Framer Motion 10/10, GSAP 10/10, Reanimated 10/10",2020s Modern,High,"Create a motion-driven kinetic interface. Use scroll-triggered animations, fluid micro-interactions, seamless page transitions, and high-energy reactive elements. Focus on storytelling through motion. Use spring physics for all interactions.","framer-motion, motion.div, initial={{ opacity: 0 }}, whileInView={{ opacity: 1 }}, transition={{ type: 'spring' }}","☐ Spring physics used (no linear), ☐ Scroll-triggered animations, ☐ Micro-interactions <150ms, ☐ Page transitions seamless, ☐ High-energy feel verified, ☐ Performance checked (FPS)","--animation-spring: type: spring, --duration-fast: 150ms, --duration-page: 300ms, --motion-stiffness: 100"
11,Accessible & Ethical (Universal),General,"Inclusive, high contrast, clear, readable, simple, user-centered, diverse, ethical, low-cognitive","WCAG Compliant (Contrast 4.5:1 / 7:1)","Supportive neutrals, focus indicators","Clear focus states, large touch targets (44px+), no dark patterns, simplified navigation, readable font size (16px+)","Government sites, healthcare, public service, education, banking, utility apps, elder-care","High-speed trading, experimental creative, gaming, entertainment-first sites",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind (A11y) 10/10, Radix UI 10/10",2020s Standard,Low,"Design for accessibility and ethical standards. Prioritize high contrast (WCAG AAA), clear readability, large touch targets (44px+), no dark patterns, and simple navigation. Ensure focus states are highly visible.","font-size: 1.125rem, line-height: 1.6, focus: outline 2px solid primary, aria-labels, alt text, contrast: 7:1","☐ WCAG AAA contrast (7:1), ☐ Touch targets ≥ 44x44px, ☐ Focus states highly visible, ☐ No dark patterns verified, ☐ Readable font size 16px+, ☐ Alt-text and ARIA labels checked","--min-touch: 44px, --line-height: 1.6, --font-size-base: 18px, --contrast-ratio: 7:1"
12,Organic Biophilic,General,"Nature-inspired, curves, soft, earthy, green, sustainable, calm, flowing, natural textures, eco","Leaf Green #228B22, Sky Blue #87CEEB, Earth Brown #8B4513","Sage #9C9F84, Sand #F4A460, Terracotta #E2725B","Soft easing (600ms), parallax (subtle), curved borders (999px), organic shapes (SVG), soft grain/texture","Sustainable brands, wellness apps, outdoor apps, food/agriculture, meditation, non-profits","Fintech, cybersecurity, high-tech SaaS, industrial tools, technical products",✓ Full,◐ Partial,⚡ Good,✓ High,✓ High,◐ Medium,"Tailwind 8/10, SVG 10/10",2020s Modern,Medium,"Design with organic biophilic elements. Use nature-inspired colors, flowing soft curves, earthy tones, sustainable imagery, and natural textures. Use soft easing for transitions and organic SVG shapes for layouts.","border-radius: 999px, clip-path: url(#organic-blob), background: url('grain.png'), transition: ease-in-out 600ms","☐ Nature-inspired palette, ☐ Organic SVG shapes used, ☐ Soft curves 999px applied, ☐ Natural textures visible, ☐ Soft easing 600ms+, ☐ Eco-friendly feel verified","--radius-organic: 999px, --easing-soft: 600ms, --color-leaf: #228B22, --texture-opacity: 0.05"
13,Flat Design + Vibrant & Block,General,"Modern, clean, colorful, structured, energetic, grid-based, bold iconography, 2D, minimal shadows","Vivid Pink #FF007F, Electric Blue #007FFF","High contrast neutral, secondary vibrants","Sharp 2D layout, no gradients, minimal box-shadow (soft, large), bold iconography, rapid hover (150ms)","Startups, e-commerce, social apps, task managers, consumer SaaS, marketing pages","Luxury, high-end exclusive, formal banking, traditional corporate, government",✓ Full,✓ Full,⚡ Excellent,✓ High,✓ High,✓ High,"Tailwind 10/10, Bootstrap 9/10",2010s-2020s,Low,"Design a flat but vibrant interface. Use bold colors, clean 2D layouts, structured grids, and energetic typography. No gradients, and use only very soft, large box-shadows for depth. Focus on icons and color blocking.","background-color: #007FFF, border-radius: 8px, box-shadow: 0 10px 25px rgba(0,0,0,0.1), no-gradient","☐ Vibrant color blocking used, ☐ 2D layout (no bevels/gradients), ☐ Soft large shadows only, ☐ Bold iconography used, ☐ Structured grid verified, ☐ Rapid feedback 150ms","--primary-vibrant: #007FFF, --shadow-soft: 0 10px 25px rgba(0,0,0,0.1), --radius: 8px, --font-bold: 700"
14,Dark Mode (OLED) + Data-Dense,General,"High performance, premium, battery-safe, data-heavy, professional, technical, high-contrast, black","Pure Black #000000, Deep Grey #121212","Primary accent (Cyan #00FFFF, Green #39FF14), Secondary Muted","Subtle glowing borders, high-density grids, fast data loading, real-time updates, clear hierarchy, 100ms transitions","Fintech, trading, cybersecurity, dev tools, professional dashboards, analytics platforms, crypto","Children apps, healthcare (patients), low-end mobile, daytime-only apps, outdoors utility",✗ Poor,✓ Full,⚡ Excellent,✓ High (if contrast tuned),✓ High,✓ High,"Tailwind 10/10, MUI 10/10",2020s Standard,Medium,"Design a data-dense OLED dark mode interface. Use pure black #000000, deep grays, and high-contrast vibrant accents (cyan, neon green). Focus on data density, real-time updates, and subtle glowing borders for hierarchy.","background-color: #000, color: #FFF, border: 1px solid #333, accent-color: #00FFFF, density: tight","☐ Pure black #000 background, ☐ Data density maximized (small gaps), ☐ High contrast accents verified, ☐ Real-time update feel (fast), ☐ Subtle glowing borders used, ☐ Accessible contrast checked","--bg-oled: #000, --accent-neon: #00FFFF, --border-glow: 1px solid rgba(0,255,255,0.2), --spacing-dense: 4px"
15,Soft UI Evolution,General,"Soft shadows, pastel, rounded (24px+), calm, approachable, modern, subtle depth, high white space","Soft Violet #8B5CF6, Soft Blue #60A5FA","Clean White #FFFFFF, Muted Grey #F3F4F6","Soft multiple shadows (large blur), slow easing (400-500ms), rounded containers (24px+), subtle gradients (2-stop)","SaaS for creatives, productivity tools, lifestyle apps, wellness, education, approachable professional","Trading platforms, data-heavy tools, brutalist brands, counter-culture projects",✓ Full,◐ Partial,⚡ Good,✓ High,✓ High,✓ High,"Tailwind 9/10, MUI 9/10",2020s Modern,Low,"Design using Soft UI Evolution. Use soft shadows with large blurs, pastel primary colors, rounded corners (24px+), and high white space. Interactions should be calm with slow easing. Subtlety and approachability are key.","box-shadow: 0 20px 40px rgba(0,0,0,0.05), border-radius: 24px, background: #FFF, padding: 2rem","☐ Soft shadows large blur (20-40px), ☐ Pastel primaries used, ☐ Rounded corners 24px+, ☐ High white space verified, ☐ Calm interaction feel, ☐ Approachable professional tone","--radius-large: 24px, --shadow-soft: 0 20px 40px rgba(0,0,0,0.05), --primary-pastel: #8B5CF6, --easing-calm: 450ms"
16,Claymorphism,General,"3D, bubbly, playful, tactile, rounded, soft, friendly, cartoonish, depth, floating","Vibrant Pink #FF69B4, Bright Blue #00BFFF","Lighter shades (inner shadow), White (highlights)","Inner shadows (simulating 3D), outer soft shadows, floating animations, squishy press effect (100ms)","Children apps, education, gaming, creative startups, playful brands, Gen-Z marketing","Professional finance, healthcare (doctors), government, technical documentation, minimal high-end",✓ Full,✗ Poor,⚠ Moderate,⚠ Low contrast,✓ High,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",2020s Modern,Medium,"Design a claymorphic interface. Use 3D bubbly shapes, playful colors, tactile inner shadows, and floating animations. Add a 'squishy' effect to interactive elements. Focus on a friendly and approachable 'toy-like' feel.","border-radius: 32px, box-shadow: inset -4px -4px 8px rgba(0,0,0,0.1), inset 4px 4px 8px rgba(255,255,255,0.8), 8px 8px 16px rgba(0,0,0,0.05)","☐ 3D bubbly shapes verified, ☐ Inner shadows for depth, ☐ Playful vibrant colors used, ☐ Floating animations included, ☐ Squishy press effect 100ms, ☐ Friendly toy-like feel","--radius-bubbly: 32px, --shadow-clay-inner: inset -4px -4px 8px, --shadow-clay-outer: 8px 8px 16px, --primary-vibrant: #FF69B4"
